D_INTERVIEW,Q165,Q166,Q167,Q168
GPT-OSS_120B_baseline,2,2,2,2
LLAMA3_1_70B_baseline,2,1,1,2
LLAMA3_70B_baseline,0,1,1,1
PHI3_INSTRUCT_baseline,1,1,1,1
QWEN2_5VL_32B_baseline,0,1,0,1
QWEN2_5VL_72B_baseline,2,1,2,2
QWEN2_5VL_7B_baseline,1,1,1,1
QWEN3_32B_baseline,2,1,2,2
QWEN_7B_baseline,1,2,0,2
GPT_4O_baseline,2,1,1,2
GPT-OSS_120B_chainofthought,2,2,2,2
LLAMA3_1_70B_chainofthought,2,1,1,1
LLAMA3_70B_chainofthought,1,1,1,1
PHI3_INSTRUCT_chainofthought,1,2,2,1
QWEN2_5VL_32B_chainofthought,1,1,1,1
QWEN2_5VL_72B_chainofthought,2,1,2,2
QWEN2_5VL_7B_chainofthought,1,1,1,1
QWEN3_32B_chainofthought,2,1,2,1
QWEN_7B_chainofthought,1,0,1,2
GPT_4O_chainofthought,2,2,2,2
GPT-OSS_120B_declarative,2,1,2,2
LLAMA3_1_70B_declarative,1,2,1,1
LLAMA3_70B_declarative,0,1,1,1
PHI3_INSTRUCT_declarative,1,1,1,1
QWEN2_5VL_32B_declarative,1,1,1,1
QWEN2_5VL_72B_declarative,2,1,2,2
QWEN2_5VL_7B_declarative,1,1,1,1
QWEN3_32B_declarative,0,1,2,0
QWEN_7B_declarative,0,0,0,2
GPT_4O_declarative,2,2,2,2
GPT-OSS_120B_explicit,2,1,2,2
LLAMA3_1_70B_explicit,1,1,1,1
LLAMA3_70B_explicit,2,1,1,1
PHI3_INSTRUCT_explicit,1,1,2,1
QWEN2_5VL_32B_explicit,2,1,1,1
QWEN2_5VL_72B_explicit,2,1,2,2
QWEN2_5VL_7B_explicit,1,1,1,1
QWEN3_32B_explicit,2,1,2,2
QWEN_7B_explicit,1,2,2,1
GPT_4O_explicit,2,1,2,2
GPT-OSS_120B_parantheses,2,1,2,2
LLAMA3_1_70B_parantheses,2,2,1,1
LLAMA3_70B_parantheses,2,1,1,1
PHI3_INSTRUCT_parantheses,1,1,1,1
QWEN2_5VL_32B_parantheses,1,1,1,1
QWEN2_5VL_72B_parantheses,2,1,2,2
QWEN2_5VL_7B_parantheses,1,1,1,1
QWEN3_32B_parantheses,2,1,2,2
QWEN_7B_parantheses,0,0,0,1
GPT_4O_parantheses,2,1,1,2
GPT-OSS_120B_roleplay,2,1,1,2
LLAMA3_1_70B_roleplay,2,1,1,2
LLAMA3_70B_roleplay,2,1,1,1
PHI3_INSTRUCT_roleplay,2,1,1,1
QWEN2_5VL_32B_roleplay,1,1,1,1
QWEN2_5VL_72B_roleplay,2,1,2,2
QWEN2_5VL_7B_roleplay,1,1,0,1
QWEN3_32B_roleplay,2,1,2,1
QWEN_7B_roleplay,0,2,0,1
GPT_4O_roleplay,2,1,2,2
